# FFT of scope (Hann); dt=3.361082430e-12; N=800
freq_Hz,mag
1.167778560002e+11,6.755084394519e-08
1.171497600002e+11,6.605233370493e-08
1.175216640002e+11,6.457921589018e-08
1.178935680002e+11,6.313107522137e-08
1.182654720002e+11,6.170755681343e-08
1.186373760002e+11,6.030826512100e-08
1.190092800002e+11,5.893284434229e-08
1.193811840002e+11,5.758092259596e-08
1.197530880002e+11,5.625215041626e-08
1.201249920002e+11,5.494615880282e-08
1.204968960002e+11,5.366261772610e-08
1.208688000002e+11,5.240117209622e-08
1.212407040002e+11,5.116150868748e-08
1.216126080002e+11,4.994329191765e-08
1.219845120002e+11,4.874618560847e-08
1.223564160002e+11,4.756987826062e-08
1.227283200002e+11,4.641405851961e-08
1.231002240002e+11,4.527840853968e-08
1.234721280002e+11,4.416262694019e-08
1.238440320002e+11,4.306642507271e-08
1.242159360002e+11,4.198948434795e-08
1.245878400002e+11,4.093153250665e-08
1.249597440002e+11,3.989226329469e-08
1.253316480002e+11,3.887139907538e-08
1.257035520002e+11,3.786865995417e-08
1.260754560002e+11,3.688375667800e-08
1.264473600002e+11,3.591642408256e-08
1.268192640002e+11,3.496638681170e-08
1.271911680002e+11,3.403337274649e-08
1.275630720002e+11,3.311710750015e-08
1.279349760002e+11,3.221733888142e-08
1.283068800002e+11,3.133378696404e-08
1.286787840002e+11,3.046620351150e-08
1.290506880002e+11,2.961431353300e-08
1.294225920002e+11,2.877787702918e-08
1.297944960002e+11,2.795661832037e-08
1.301664000002e+11,2.715029140778e-08
1.305383040002e+11,2.635861737447e-08
1.309102080002e+11,2.558140887005e-08
1.312821120002e+11,2.481834124728e-08
1.316540160002e+11,2.406920237986e-08
1.320259200002e+11,2.333370114906e-08
1.323978240002e+11,2.261163253282e-08
1.327697280002e+11,2.190270308334e-08
1.331416320002e+11,2.120667634721e-08
1.335135360002e+11,2.052329820896e-08
1.338854400002e+11,1.985231444098e-08
1.342573440002e+11,1.919349098763e-08
1.346292480002e+11,1.854650540609e-08
1.350011520002e+11,1.791115653018e-08
1.353730560002e+11,1.728718606668e-08
1.357449600002e+11,1.667431608811e-08
1.361168640002e+11,1.607229663511e-08
1.364887680002e+11,1.548085015074e-08
1.368606720002e+11,1.489970561920e-08
1.372325760002e+11,1.432860969067e-08
1.376044800002e+11,1.376727031804e-08
1.379763840002e+11,1.321547615486e-08
1.383482880003e+11,1.267288533521e-08
1.387201920003e+11,1.213924558133e-08
1.390920960003e+11,1.161429169703e-08
1.394640000003e+11,1.109769198829e-08
1.398359040003e+11,1.058920927290e-08
1.402078080003e+11,1.008855960311e-08
1.405797120003e+11,9.595410012876e-09
1.409516160003e+11,9.109484298359e-09
1.413235200003e+11,8.630511483349e-09
1.416954240003e+11,8.158149251357e-09
1.420673280003e+11,7.692124488263e-09
1.424392320003e+11,7.232141205662e-09
1.428111360003e+11,6.777882172731e-09
1.431830400003e+11,6.329047526475e-09
1.435549440003e+11,5.885354841905e-09
1.439268480003e+11,5.446424612740e-09
1.442987520003e+11,5.012016648951e-09
1.446706560003e+11,4.581857020202e-09
1.450425600003e+11,4.155610258866e-09
1.454144640003e+11,3.733037748710e-09
1.457863680003e+11,3.313899203108e-09
1.461582720003e+11,2.897953879344e-09
1.465301760003e+11,2.485273400213e-09
1.469020800003e+11,2.075803323164e-09
1.472739840003e+11,1.670155638298e-09
1.476458880003e+11,1.269966101494e-09
1.480177920003e+11,8.804497304280e-10
1.483896960003e+11,5.232193347283e-10
1.487616000003e+11,3.267750483904e-10
